"id","preparationPercent","lat","long","postalCode","investorId","villageId","provinceName","regencyName","districtName","villageName","createdAt","updatedAt","districtId","provinceId","regencyId","preparationEnd","preparationStart","statusId"
"01.214.0001","30","4.355816","9.7755522","24392","INVSBGHQSV",,"ACEH","KAB. ACEH TIMUR","SIMPANG JERNIH","BATU SUMBANG","2026-02-05 01:09:24.978","2026-02-05 01:09:24.978",,,,,,"3"
"01.214.0002","0","0","0",,"INVS175VYZ",,"ACEH","KAB. ACEH TIMUR","SIMPANG JERNIH","PANTE KERA","2026-02-05 01:09:24.933","2026-02-05 01:09:24.933",,,,,,"3"
"01.214.0003","0","0","0",,"INVSEH3JSA",,"ACEH","KAB. ACEH TIMUR","SIMPANG JERNIH","TAMPUR PALOH","2026-02-05 01:09:24.887","2026-02-05 01:09:24.887",,,,,,"3"
"01.214.0004","0","0","0",,"INVSDFQA9R",,"ACEH","KAB. ACEH TIMUR","BIREM BAYEUN","BLANG TUALANG","2026-02-05 01:09:24.841","2026-02-05 01:09:24.841",,,,,,"3"
"01.214.0005","0","0","0",,"INVSDFQA9R",,"ACEH","KAB. ACEH TIMUR","BIREM BAYEUN","Belum diisi","2026-02-05 01:07:04.938","2026-02-05 01:07:04.938",,,,,,"3"
"01.214.0006","0","0","0",,"INVSHNXMCA",,"ACEH","KAB. ACEH TIMUR","RANTAU SELAMAT","Belum diisi","2026-02-05 01:07:04.894","2026-02-05 01:07:04.894",,,,,,"3"
"01.214.0007","0","0","0",,"INVSHNXMCA",,"ACEH","KAB. ACEH TIMUR","RANTAU SELAMAT","ALUE PUNTI","2026-02-05 01:09:24.798","2026-02-05 01:09:24.798",,,,,,"3"
"01.214.0008","0","0","0",,"INVS3YUVWU",,"ACEH","KAB. ACEH TIMUR","SUNGAI RAYA","Belum diisi","2026-02-05 01:07:04.85","2026-02-05 01:07:04.85",,,,,,"3"
"01.214.0009","0","0","0",,"INVSEMY3TN",,"ACEH","KAB. ACEH TIMUR","PEUREULAK TIMUR","TUALANG PATENG","2026-02-05 01:09:24.754","2026-02-05 01:09:24.754",,,,,,"3"
"01.214.0010","0","0","0",,"INVSKO2PP1",,"ACEH","KAB. ACEH TIMUR","NURUSSALAM","ALUE SIWAH SERDANG","2026-02-05 01:09:24.711","2026-02-05 01:09:24.711",,,,,,"3"
"01.214.0011","0","0","0",,"INVSZHKFET",,"ACEH","KAB. ACEH TIMUR","JULOK","BUKET MAKMU","2026-02-05 01:09:24.666","2026-02-05 01:09:24.666",,,,,,"3"
"01.214.0012","40","5.082356","97.634158","24459","INVSANZIZC",,"Belum diisi","Belum diisi","Belum diisi","NALEUNG","2026-02-05 01:09:24.622","2026-02-05 01:09:24.622",,,,,,"3"
"01.214.0013","0","0","0",,"INVS175VYZ",,"ACEH","KAB. ACEH TIMUR","SERBAJADI","SUNTI","2026-02-05 01:09:24.578","2026-02-05 01:09:24.578",,,,,,"3"
"01.214.0014","0","0","0",,"INVSEH3JSA",,"ACEH","KAB. ACEH TIMUR","SERBAJADI","SEMBUANG","2026-02-05 01:09:24.533","2026-02-05 01:09:24.533",,,,,,"3"
"01.214.0015","0","0","0",,"INVSDVSTVE",,"ACEH","KAB. ACEH TIMUR","SERBAJADI","BUNIN","2026-02-05 01:09:24.488","2026-02-05 01:09:24.488",,,,,,"3"
"01.214.0016","0","0","0",,"INVSAXF5UC",,"ACEH","KAB. ACEH TIMUR","IDI TIMUR","LHOK ASAHAN","2026-02-05 01:09:24.445","2026-02-05 01:09:24.445",,,,,,"3"
"01.214.0017","0","0","0",,"INVSPSEXYH",,"ACEH","KAB. ACEH TIMUR","INDRA MAKMU","ALUE PATONG","2026-02-05 01:09:24.401","2026-02-05 01:09:24.401",,,,,,"3"
"01.214.0018","0","0","0",,"INVSRQEPWB",,"ACEH","KAB. ACEH TIMUR","INDRA MAKMU","Belum diisi","2026-02-05 01:07:04.807","2026-02-05 01:07:04.807",,,,,,"3"
"01.214.0019","0","0","0",,"INVSDVSTVE",,"ACEH","KAB. ACEH TIMUR","PANTE BIDARI","Belum diisi","2026-02-05 01:07:04.763","2026-02-05 01:07:04.763",,,,,,"3"
"01.214.0020","0","0","0",,"INVSHKVN4U",,"ACEH","KAB. ACEH TIMUR","PANTE BIDARI","SIJUDO","2026-02-05 01:09:24.357","2026-02-05 01:09:24.357",,,,,,"3"
"01.214.0021","0","0","0",,"INVSHKVN4U",,"ACEH","KAB. ACEH TIMUR","PANTE BIDARI","SUKA DAMAI","2026-02-05 01:09:24.314","2026-02-05 01:09:24.314",,,,,,"3"
"01.214.0022","0","0","0",,"INVSBG5BXP",,"ACEH","KAB. ACEH TIMUR","PANTE BIDARI","BLANG SEUNONG","2026-02-05 01:09:24.271","2026-02-05 01:09:24.271",,,,,,"3"
"01.214.0023","0","0","0",,"INVSAXF5UC",,"ACEH","KAB. ACEH TIMUR","PEUDAWA","BUKET KUTA","2026-02-05 01:09:24.227","2026-02-05 01:09:24.227",,,,,,"3"
"01.214.0024","0","0","0",,"INVSEE8W49",,"ACEH","KAB. ACEH TENGGARA","BABUL MAKMUR","Belum diisi","2026-02-05 01:03:51.156","2026-02-05 01:03:51.156",,,,,,"3"
"01.214.0025","0","0","0",,"INVSYSRFAL",,"ACEH","KAB. ACEH TIMUR","PEUNARON","BUKIT TIGA","2026-02-05 01:09:24.181","2026-02-05 01:09:24.181",,,,,,"3"
"01.214.0026","0","0","0",,"INVSAAJGOZ",,"ACEH","KAB. ACEH TIMUR","DARUL IHSAN","GUNONG PUTOH","2026-02-05 01:09:24.134","2026-02-05 01:09:24.134",,,,,,"3"
"01.214.0027","0","0","0",,"INVSWSWLEP",,"ACEH","KAB. ACEH TIMUR","BANDA ALAM","JAMBO REUHAT","2026-02-05 01:09:24.09","2026-02-05 01:09:24.09",,,,,,"3"
"01.214.0028","0","0","0",,"INVSOUBFAU",,"ACEH","KAB. ACEH TIMUR","MADAT","SEUNEUBOK PIDIE","2026-02-05 01:09:24.044","2026-02-05 01:09:24.044",,,,,,"3"
"01.214.0029","0","0","0",,"INVSH5RTBW",,"ACEH","KAB. ACEH BARAT","SUNGAI MAS","GASEU","2026-02-05 01:09:23.996","2026-02-05 01:09:23.996",,,,,,"3"
"01.214.0030","20","4.491937","96.026361","23683","INVSRKB1AG",,"ACEH","KAB. ACEH BARAT","WOYLA TIMUR","SEURADEUK","2026-02-05 01:07:04.72","2026-02-05 01:07:04.72",,,,,,"3"
"01.214.0031","50","4.491937","96.0263","23682","INVSRKB1AG",,"ACEH","KAB. ACEH BARAT","WOYLA TIMUR","KUBU CAPANG","2026-02-05 01:09:23.952","2026-02-05 01:09:23.952",,,,,,"3"
"01.214.0032","0","0","0",,"INVSKJQCUO",,"ACEH","KAB. ACEH BARAT","WOYLA BARAT","Belum diisi","2026-02-05 01:07:04.674","2026-02-05 01:07:04.674",,,,,,"3"
"01.214.0033","0","0","0",,"INVSH5RTBW",,"ACEH","KAB. ACEH BARAT","WOYLA BARAT","ALUE KEUMUNING","2026-02-05 01:09:23.886","2026-02-05 01:09:23.886",,,,,,"3"
"01.214.0034","0","0","0",,"INVSH5RTBW",,"ACEH","KAB. ACEH BARAT","PANTE CEUREUMEN","SIKUNDO","2026-02-05 01:09:23.842","2026-02-05 01:09:23.842",,,,,,"3"
"01.214.0035","0","0","0",,"INVS33QIOV",,"ACEH","KAB. ACEH BESAR","LEUPUNG","Belum diisi","2026-02-05 01:07:04.63","2026-02-05 01:07:04.63",,,,,,"3"
"01.214.0036","60","5.629722","95.138306","23391","INVSAUCBMO",,"Belum diisi","Belum diisi","Belum diisi","PASI JANENG","2026-02-05 01:09:23.796","2026-02-05 01:09:23.796",,,,,,"3"
"01.214.0037","50","0","0",,"INVSHPEV0C",,"ACEH","KAB. ACEH BESAR","LEMBAH SEULAWAH","PANCA","2026-02-05 01:09:23.738","2026-02-05 01:09:23.738",,,,,,"3"
"01.214.0038","100","5.502832","95.607964","23951","INVSUVPJEL",,"Belum diisi","Belum diisi","Belum diisi","BLANG TINGKEUM","2026-02-05 01:07:04.584","2026-02-05 01:07:04.584",,,,,,"4"
"01.214.0039","50","5.57606","95.709257","23951","INVS24AYKQ",,"ACEH","KAB. ACEH BESAR","SEULIMEUM","LEUNGAH","2026-02-05 01:07:04.535","2026-02-05 01:07:04.535",,,,,,"3"
"01.214.0040","0","0","0",,,,"ACEH","KAB. ACEH SINGKIL","PULAU BANYAK BARAT","Belum diisi","2026-02-05 01:07:04.492","2026-02-05 01:07:04.492",,,,,,"1"
"01.214.0041","30","2.228142","97.299294","24790","INVS2FDE95",,"Belum diisi","Belum diisi","Belum diisi","UJUNG SIALIT","2026-02-05 01:07:06.294","2026-02-05 01:07:06.294",,,,,,"3"
