Kode Unik SPPGT;Status;Proses Persiapan (%);Periode Persiapan;Nama Investor;Email Investor;Kode Investor;Kode SPPG;Provinsi;Kabupaten/Kota;Kecamatan;Desa;Kode Pos;Latitude;Longitude;Assign Investor
02.T.8624;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;NUSA TENGGARA TIMUR;KAB. NGADA;GOLEWA SELATAN;BOBA;-;-;-;Dokumen Pendaftaran
02.T.8623;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;NUSA TENGGARA TIMUR;KAB. NGADA;RIUNG;TAEN TERONG SATU;-;-;-;Proses Persiapan
02.SK.7719;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. TOLIKARA;BIUK;GUBURINI;-;-;-;Validasi Data Persiapan
02.SK.7637;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;YILUK;ODIKA;-;-;-;Appraisal Biaya Sewa
02.SK.7630;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;POGA;BIGIPAGA;-;-;-;Validasi Data Pendaftaran
02.SK.7628;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;PIRIME;EKANOM;-;-;-;Perjanjian Sewa
02.SK.7621;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;MILIMBO;KUGAME;-;-;-;
02.SK.7616;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;KULY LANNY;GUBURINI;-;-;-;
02.SK.7615;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;KULY LANNY;JIWIKELANNY;-;-;-;
02.SK.7611;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;KOLAWA;TIMOTIUS;-;-;-;
02.SK.7609;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;KOLAWA;YAGARIKME;-;-;-;
02.SK.7601;Assign Investor;;1 minggu yang lalu;Belum Terhubung;Belum Terhubung;Belum Terhubung;Belum Terhubung;PAPUA PEGUNUNGAN;KAB. LANNY JAYA;GOLLO;GOLOPURA;-;-;-;
